Label,lumMean,lumSD,area,lwMean,lwSD,mwMean,mwSD,swMean,swSD
MatjiesRd1_comptonii_DC/0132_0135_b14,0.088337910,0.037630986,7472,0.088337910,0.037630986,0.080638012,0.035140539,0.053235794,0.025777890
MatjiesRd1_comptonii_DC/0132_0135_b15,0.138665633,0.029729200,42563,0.138665633,0.029729200,0.111640272,0.026944770,0.038735387,0.015107829
MatjiesRd1_comptonii_DC/0132_0135_b16,0.153796395,0.030001693,60119,0.153796395,0.030001693,0.140693110,0.027938398,0.083480378,0.018754781
MatjiesRd1_comptonii_DC/0132_0135_b17,0.147341452,0.093093878,121406,0.147341452,0.093093878,0.135507476,0.085978215,0.092078816,0.052773908
MatjiesRd1_comptonii_DC/0132_0135_b18,0.107500995,0.086258873,298182,0.107500995,0.086258873,0.090385724,0.073006683,0.054116365,0.032798757
MatjiesRd1_comptonii_DC/0132_0135_b19,0.131927542,0.024718253,84118,0.131927542,0.024718253,0.128866424,0.024280282,0.112228934,0.020975671
MatjiesRd1_comptonii_DC/0132_0135_b2,0.125774556,0.049634490,799053,0.125774556,0.049634490,0.096933654,0.052982058,0.054112632,0.036596266
MatjiesRd1_comptonii_DC/0132_0135_b3,0.105629937,0.034144012,19084,0.105629937,0.034144012,0.096034258,0.033466947,0.061224383,0.025873677
MatjiesRd1_comptonii_DC/0132_0135_b4,0.224135117,0.060023605,114288,0.224135117,0.060023605,0.208302260,0.052660538,0.137149658,0.030160246
MatjiesRd1_comptonii_DC/0132_0135_b5,0.270276780,0.074695243,52770,0.270276780,0.074695243,0.256323619,0.072463161,0.183009904,0.056604361
MatjiesRd1_comptonii_DC/0132_0135_b6,0.063294554,0.023122598,22350,0.063294554,0.023122598,0.062021398,0.021936181,0.056078160,0.015880320
MatjiesRd1_comptonii_DC/0132_0135_b7,0.067276621,0.024665492,1319,0.067276621,0.024665492,0.055911022,0.022346933,0.024521046,0.011688982
MatjiesRd1_comptonii_DC/0132_0135_b8,0.072246148,0.019998581,41884,0.072246148,0.019998581,0.069187926,0.018947597,0.059351913,0.015226690
MatjiesRd1_comptonii_DC/0132_0135_b9,0.207857095,0.059617656,68458,0.207857095,0.059617656,0.186428488,0.057679805,0.100625204,0.038473161
MatjiesRd1_comptonii_DC/0132_0135_c1,0.063807859,0.024519076,7993,0.063807859,0.024519076,0.049931639,0.021259931,0.021198415,0.011128568
MatjiesRd1_comptonii_DC/0132_0135_c2,0.078383175,0.025036092,3003,0.078383175,0.025036092,0.063834387,0.023339793,0.031910693,0.015271166
MatjiesRd1_comptonii_DC/0132_0135_c3,0.053531854,0.024501011,3788,0.053531854,0.024501011,0.041121985,0.022701727,0.017981857,0.012921264
MatjiesRd1_comptonii_DC/0132_0135_c4,0.078383175,0.025036092,3003,0.078383175,0.025036092,0.063834387,0.023339793,0.031910693,0.015271166
MatjiesRd1_comptonii_DC/0132_0135_p1,0.138665633,0.029729200,42563,0.138665633,0.029729200,0.111640272,0.026944770,0.038735387,0.015107829
MatjiesRd1_comptonii_DC/0132_0135_p2,0.107500995,0.086258873,298182,0.107500995,0.086258873,0.090385724,0.073006683,0.054116365,0.032798757
MatjiesRd1_comptonii_DC/0138_0141_a1,0.132891948,0.035696137,36005,0.132891948,0.035696137,0.126078233,0.032963253,0.077039851,0.022473239
MatjiesRd1_comptonii_DC/0138_0141_a2,0.115572416,0.042904661,26246,0.115572416,0.042904661,0.110461981,0.039649575,0.070366406,0.025381853
MatjiesRd1_comptonii_DC/0138_0141_a3,0.136209353,0.038246425,37838,0.136209353,0.038246425,0.130159243,0.034755387,0.084294247,0.021637345
MatjiesRd1_comptonii_DC/0138_0141_a4,0.121452357,0.028729400,30494,0.121452357,0.028729400,0.116284366,0.027042544,0.076507823,0.020360675
MatjiesRd1_comptonii_DC/0138_0141_a5,0.132551671,0.049216611,30804,0.132551671,0.049216611,0.126930797,0.044771180,0.076997495,0.024889264
MatjiesRd1_comptonii_DC/0138_0141_b1,0.167436420,0.052129891,78477,0.167436420,0.052129891,0.156967065,0.049438559,0.103707281,0.035843786
MatjiesRd1_comptonii_DC/0138_0141_b10,0.077353146,0.022464135,26213,0.077353146,0.022464135,0.069763199,0.021209452,0.048875469,0.016911517
MatjiesRd1_comptonii_DC/0138_0141_b11,0.088768544,0.028229637,80889,0.088768544,0.028229637,0.086437717,0.027503832,0.070077702,0.020968672
MatjiesRd1_comptonii_DC/0138_0141_b12,0.281830888,0.089121626,701742,0.281830888,0.089121626,0.253239107,0.084600578,0.154523083,0.060471016
MatjiesRd1_comptonii_DC/0138_0141_b13,0.185383771,0.053007040,69792,0.185383771,0.053007040,0.178990903,0.049851747,0.143900836,0.036064773
MatjiesRd1_comptonii_DC/0138_0141_b14,0.325903114,0.069176118,673803,0.325903114,0.069176118,0.304674152,0.068218353,0.217748282,0.056455916
MatjiesRd1_comptonii_DC/0138_0141_b15,0.196851880,0.054790328,28789,0.196851880,0.054790328,0.178945946,0.053426167,0.109631213,0.046478360
MatjiesRd1_comptonii_DC/0138_0141_b16,0.227194640,0.075287881,134751,0.227194640,0.075287881,0.212276424,0.074566883,0.156786844,0.067514397
MatjiesRd1_comptonii_DC/0138_0141_b2,0.171894998,0.039630350,39672,0.171894998,0.039630350,0.153789009,0.036965573,0.082406119,0.024170144
MatjiesRd1_comptonii_DC/0138_0141_b3,0.203547723,0.051247923,105621,0.203547723,0.051247923,0.183909989,0.049765063,0.117239344,0.038580663
MatjiesRd1_comptonii_DC/0138_0141_b4,0.208461843,0.052057656,37887,0.208461843,0.052057656,0.194918882,0.048409746,0.132177509,0.035892987
MatjiesRd1_comptonii_DC/0138_0141_b5,0.183968441,0.056904366,33311,0.183968441,0.056904366,0.168227364,0.053460205,0.099309438,0.037499849
MatjiesRd1_comptonii_DC/0138_0141_b6,0.036159371,0.022833497,55148,0.036159371,0.022833497,0.030942885,0.020315876,0.026640478,0.012909471
MatjiesRd1_comptonii_DC/0138_0141_b7,0.092598495,0.024233175,7490,0.092598495,0.024233175,0.092405078,0.024017553,0.081711035,0.020072658
MatjiesRd1_comptonii_DC/0138_0141_b8,0.092598495,0.024233175,7490,0.092598495,0.024233175,0.092405078,0.024017553,0.081711035,0.020072658
MatjiesRd1_comptonii_DC/0138_0141_b9,0.262097734,0.076460582,164241,0.262097734,0.076460582,0.250024456,0.073521835,0.188531290,0.055832249
MatjiesRd1_comptonii_DC/0138_0141_c1,0.061055619,0.028965479,2585,0.061055619,0.028965479,0.050113369,0.026713359,0.023819382,0.016173563
