Label,lumMean,lumSD,area,lwMean,lwSD,mwMean,mwSD,swMean,swSD,vsMean,vsSD,dblMean,dblSD
aggeneys_olivacea_CDE/CDE_b11_b2,0.441051642,0.162564988,111603,0.441051642,0.162564988,0.378844733,0.146932303,0.330016625,0.132307183,0.274098091,0.102152246,0.390435302,0.149752058
aggeneys_olivacea_CDE/CDE_b11_b3,0.164074104,0.084484714,43450,0.164074104,0.084484714,0.113419547,0.076507941,0.091984681,0.073367370,0.086243898,0.064907364,0.124195313,0.077793439
aggeneys_olivacea_CDE/CDE_b11_c1,0.151394068,0.060829853,5911,0.151394068,0.060829853,0.077339089,0.046624902,0.039493591,0.033399277,0.029925359,0.025005612,0.092650782,0.047809040
aggeneys_olivacea_CDE/CDE_b12_a1,0.257460387,0.110729906,45232,0.257460387,0.110729906,0.190838872,0.071849063,0.145124666,0.055438226,0.114136375,0.036799376,0.203013828,0.079911184
aggeneys_olivacea_CDE/CDE_b12_a2,0.225907084,0.079639773,47277,0.225907084,0.079639773,0.179462436,0.056273179,0.138114570,0.044881508,0.109122606,0.029875376,0.186327491,0.060415229
aggeneys_olivacea_CDE/CDE_b12_a3,0.226739665,0.079860535,43823,0.226739665,0.079860535,0.176279346,0.058208039,0.136091652,0.047354071,0.108038659,0.033370678,0.184348932,0.062236097
aggeneys_olivacea_CDE/CDE_b12_b1,0.310175187,0.074473080,7888,0.310175187,0.074473080,0.231732522,0.069401448,0.188587325,0.062169057,0.159946066,0.049110136,0.248201408,0.069457019
aggeneys_olivacea_CDE/CDE_b12_b2,0.336637455,0.062346837,2802,0.336637455,0.062346837,0.263955591,0.073680562,0.221081531,0.073144347,0.187431493,0.061868067,0.278922398,0.069622826
aggeneys_olivacea_CDE/CDE_b12_b3,0.387133160,0.053477930,4213,0.387133160,0.053477930,0.302803998,0.051410939,0.257122753,0.046051231,0.221992595,0.038173876,0.321090334,0.050316416
aggeneys_olivacea_CDE/CDE_b12_b4,0.490395417,0.100255294,38841,0.490395417,0.100255294,0.369335955,0.069208459,0.304930571,0.066951584,0.261353353,0.060900064,0.396395224,0.068400124
aggeneys_olivacea_CDE/CDE_b12_b5,0.598325583,0.117762861,3807,0.598325583,0.117762861,0.450541736,0.095357703,0.334478973,0.076565682,0.248115983,0.058900815,0.478928645,0.097303349
aggeneys_olivacea_CDE/CDE_b12_b6,0.522692190,0.103882814,2638,0.522692190,0.103882814,0.444231520,0.093913301,0.376989619,0.081206194,0.306372112,0.064372133,0.458786077,0.094578169
aggeneys_olivacea_CDE/CDE_b13_a1,0.230324925,0.083097391,62727,0.230324925,0.083097391,0.168851818,0.067555664,0.121445330,0.056712781,0.096876034,0.038647814,0.179172602,0.069647941
aggeneys_olivacea_CDE/CDE_b13_a2,0.221441900,0.057231147,45347,0.221441900,0.057231147,0.163330235,0.041575626,0.118675182,0.034422342,0.095961850,0.024491824,0.173114629,0.043358957
aggeneys_olivacea_CDE/CDE_b13_a3,0.197321436,0.101826778,50965,0.197321436,0.101826778,0.140869194,0.067191768,0.100158385,0.048665395,0.081974178,0.032202684,0.150680333,0.074389276
aggeneys_olivacea_CDE/CDE_b13_b1,0.349585488,0.107985858,79005,0.349585488,0.107985858,0.259556553,0.080017737,0.207684218,0.065418239,0.174285640,0.050838720,0.278388017,0.084889722
aggeneys_olivacea_CDE/CDE_b13_b2,0.245912336,0.088681258,238230,0.245912336,0.088681258,0.207869330,0.078264143,0.191548638,0.073235546,0.178397403,0.061564625,0.215837066,0.080033642
aggeneys_olivacea_CDE/CDE_b13_b3,0.379956113,0.057874434,17012,0.379956113,0.057874434,0.263595640,0.062072360,0.205489485,0.056792701,0.169222090,0.046168020,0.289338832,0.059434751
aggeneys_olivacea_CDE/CDE_b13_b4,0.186425132,0.064987713,101628,0.186425132,0.064987713,0.143151452,0.058028049,0.119080680,0.051968313,0.110948282,0.042147842,0.151259608,0.058743909
