,Label,lumMean,lumSD,area,lwMean,lwSD,swMean,swSD
34574,SidiBarani_verruculosa_EF/1344_1347_a1a,0.348637144,0.109498819,75964,0.348637144,0.109498819,0.232319751,0.066892324
34575,SidiBarani_verruculosa_EF/1344_1347_a1b,0.323688017,0.088905618,70888,0.323688017,0.088905618,0.207334027,0.045708675
34576,SidiBarani_verruculosa_EF/1344_1347_a2a,0.331522517,0.120251452,54714,0.331522517,0.120251452,0.22720306,0.074517808
34577,SidiBarani_verruculosa_EF/1344_1347_a2b,0.33509862,0.11018659,59533,0.33509862,0.11018659,0.23113265,0.075263601
34578,SidiBarani_verruculosa_EF/1344_1347_b1,0.3253989,0.058289611,9012,0.3253989,0.058289611,0.197749766,0.040446839
34579,SidiBarani_verruculosa_EF/1344_1347_b2,0.320955618,0.062756626,25563,0.320955618,0.062756626,0.182033984,0.042581695
34580,SidiBarani_verruculosa_EF/1344_1347_b3,0.597826158,0.073576471,140892,0.597826158,0.073576471,0.424788217,0.056705258
34581,SidiBarani_verruculosa_EF/1344_1347_b4,0.21730337,0.051323802,5339,0.21730337,0.051323802,0.105924171,0.026519344
34582,SidiBarani_verruculosa_EF/1344_1347_b5,0.202896106,0.06292472,8803,0.202896106,0.06292472,0.108297389,0.036302341
34583,SidiBarani_verruculosa_EF/1344_1347_b6,0.426404584,0.150702395,37590,0.426404584,0.150702395,0.273519767,0.085069985
34584,SidiBarani_verruculosa_EF/1344_1347_b7,0.326435922,0.08589566,27243,0.326435922,0.08589566,0.216317332,0.064445639
34585,SidiBarani_verruculosa_EF/1344_1347_c1,0.142834487,0.052836287,50998,0.142834487,0.052836287,0.066927238,0.021935653
34586,SidiBarani_verruculosa_EF/1344_1347_c2,0.165816858,0.062150386,43623,0.165816858,0.062150386,0.075828524,0.026771695
34587,SidiBarani_verruculosa_EF/1344_1347_c3,0.13472395,0.071452034,40962,0.13472395,0.071452034,0.062982977,0.032943038
34588,SidiBarani_verruculosa_EF/1344_1347_g1,0.127911875,0.088148581,52532,0.127911875,0.088148581,0.068660306,0.041870218
34589,SidiBarani_verruculosa_EF/1356_1359_a1a,0.259376577,0.086751966,33719,0.259376577,0.086751966,0.147359343,0.038983935
34590,SidiBarani_verruculosa_EF/1356_1359_a1b,0.253973334,0.082618997,37343,0.253973334,0.082618997,0.14187616,0.037271552
34591,SidiBarani_verruculosa_EF/1356_1359_a2a,0.252112568,0.072915506,41911,0.252112568,0.072915506,0.150856971,0.036934484
34592,SidiBarani_verruculosa_EF/1356_1359_a2b,0.215279465,0.06117061,52952,0.215279465,0.06117061,0.127444815,0.032214482
34593,SidiBarani_verruculosa_EF/1356_1359_a3a,0.217518271,0.066855441,61296,0.217518271,0.066855441,0.139917799,0.042904173
34594,SidiBarani_verruculosa_EF/1356_1359_a3b,0.238390621,0.072659272,54972,0.238390621,0.072659272,0.148296189,0.033395107
34595,SidiBarani_verruculosa_EF/1356_1359_a4a,0.204781992,0.056036665,59051,0.204781992,0.056036665,0.138583669,0.032378597
34596,SidiBarani_verruculosa_EF/1356_1359_a4b,0.203652871,0.074254638,52892,0.203652871,0.074254638,0.140978039,0.045939981
34597,SidiBarani_verruculosa_EF/1356_1359_b1,0.31161654,0.074394014,81652,0.31161654,0.074394014,0.19210412,0.049235325
34598,SidiBarani_verruculosa_EF/1356_1359_b2,0.460029576,0.10841921,31856,0.460029576,0.10841921,0.300693732,0.081950488
